country,status,value
AUS,Baselinetariff,1.1
CHL,Baselinetariff,1.1
SAU,Baselinetariff,1.1
PER,Baselinetariff,1.1
ARE,Baselinetariff,1.1
DOM,Baselinetariff,1.1
ARG,Baselinetariff,1.1
HND,Baselinetariff,1.1
GTM,Baselinetariff,1.1
RUS,Baselinetariff,1.1
EGY,Baselinetariff,1.1
SLV,Baselinetariff,1.1
MAR,Baselinetariff,1.1
QAT,Baselinetariff,1.1
BHS,Baselinetariff,1.1
KWT,Baselinetariff,1.1
OMN,Baselinetariff,1.1
URY,Baselinetariff,1.1
BHR,Baselinetariff,1.1
UKR,Baselinetariff,1.1
KEN,Baselinetariff,1.1
HTI,Baselinetariff,1.1
PAN,Baselinetariff,1.1
ETH,Baselinetariff,1.1
JAM,Baselinetariff,1.1
PRY,Baselinetariff,1.1
LBN,Baselinetariff,1.1
COG,Baselinetariff,1.1
SEN,Baselinetariff,1.1
TZA,Baselinetariff,1.1
GAB,Baselinetariff,1.1
GEO,Baselinetariff,1.1
AZE,Baselinetariff,1.1
ALB,Baselinetariff,1.1
ARM,Baselinetariff,1.1
NPL,Baselinetariff,1.1
SUR,Baselinetariff,1.1
TGO,Baselinetariff,1.1
BLZ,Baselinetariff,1.1
LBR,Baselinetariff,1.1
BEN,Baselinetariff,1.1
BRB,Baselinetariff,1.1
MCO,Baselinetariff,1.1
UZB,Baselinetariff,1.1
DJI,Baselinetariff,1.1
,Baselinetariff,1.1
RWA,Baselinetariff,1.1
SLE,Baselinetariff,1.1
MDV,Baselinetariff,1.1
MNG,Baselinetariff,1.1
SMR,Baselinetariff,1.1
ATG,Baselinetariff,1.1
SWZ,Baselinetariff,1.1
BLR,Baselinetariff,1.1
MHL,Baselinetariff,1.1
KNA,Baselinetariff,1.1
KGZ,Baselinetariff,1.1
MNE,Baselinetariff,1.1
TKM,Baselinetariff,1.1
GRD,Baselinetariff,1.1
SDN,Baselinetariff,1.1
YEM,Baselinetariff,1.1
NER,Baselinetariff,1.1
VCT,Baselinetariff,1.1
LCA,Baselinetariff,1.1
IRN,Baselinetariff,1.1
GIN,Baselinetariff,1.1
TLS,Baselinetariff,1.1
WSM,Baselinetariff,1.1
MLI,Baselinetariff,1.1
CUB,Baselinetariff,1.1
TJK,Baselinetariff,1.1
BFA,Baselinetariff,1.1
CPV,Baselinetariff,1.1
BDI,Baselinetariff,1.1
AND,Baselinetariff,1.1
BTN,Baselinetariff,1.1
MRT,Baselinetariff,1.1
TON,Baselinetariff,1.1
SOM,Baselinetariff,1.1
,Baselinetariff,1.1
PLW,Baselinetariff,1.1
DMA,Baselinetariff,1.1
GMB,Baselinetariff,1.1
COM,Baselinetariff,1.1
CAF,Baselinetariff,1.1
SLB,Baselinetariff,1.1
ERI,Baselinetariff,1.1
SSD,Baselinetariff,1.1
KIR,Baselinetariff,1.1
STP,Baselinetariff,1.1
TUV,Baselinetariff,1.1
GNB,Baselinetariff,1.1
PRK,Baselinetariff,1.1
